Exhibit Number,Description,Date,Keywords,File Type,Category,Priority
A-12,Court Ruling - Re Hiebert (2008) - Denial of fourth discharge for lack of insight,2008-01-01,re hiebert fourth bankruptcy discharge denial,pdf,INTEGRITY,9
A-1,Evidence of child freezing incident involving failure to provide heat or protection from elements,2025-01-04,january 4 freezing child neglect incident,pdf,SAFETY,10
A-2,Late-filed affidavit regarding child endangerment,Unknown,late affidavit child safety NBKB,pdf,SAFETY,8
A-3,Campaign of denigration fueled by false allegations of abuse,Unknown,doncaster field campaign denigration allegations,pdf,PERJURY,9
A-4,Documented patterns of intimate terrorism and systemic control,2023-01-01,nova scotia mass casualty commission IT pattern,pdf,SAFETY,9
A-5,Evidence of grandmother serving as a 'Shadow Applicant' orchestrating alienation,Unknown,simmons grandmother shadow applicant gatekeeping,pdf,OBSTRUCTION,7
A-6,Fabricated reports of child abuse used for tactical litigation advantage,Unknown,fabricated abuse report litigation harassment,pdf,PERJURY,10
A-1,Text message from December 8th saying 'leave it in the mailbox so Craig doesn't flip out',Unknown-12-08,text message mailbox craig flip out,png,COMMUNICATION,7
A-2,Bank/Money transfer record from mother to Emma and subsequently to an alleged drug dealer,Unknown-12-08,money transfer record drug dealer emma,pdf,FINANCIAL,9
A-3,Video showing Emma 'flipping out' and hitting the victim while the baby was in their arms,Unknown-12-08,video assault flipping out baby arms,mp4,SAFETY,10
A-4,Official Assault Charge record for incident occurring on December 8th,Unknown-12-08,assault charge record december 8,pdf,SAFETY,10
A-5,Apology text received two weeks prior where Emma admits to hitting the victim,Unknown,text apology hitting admission hitting emma,png,SAFETY,10
A-1,Photograph of black eye injury sustained by Craig Schulz during a physical assault by Emma Ryan,2024-11-19,black eye photo assault injury,jpg,SAFETY,10
A-2,iMessage/Text Admission from Emma Ryan apologizing for hitting Craig Schulz and admitting loss of control,2024-11-21,text admission sorry hitting apology,jpg,PERJURY,10
A-3,Video footage of Emma Ryan shattering a mirror in a state of rage and swinging at Craig Schulz,2024-11-30,video mirror shatter rage assault,mp4,SAFETY,9
A-4,Photographs of Harper Ryan's severe diaper rash and subsequent healing under Craig's care,2024-11-17,photo diaper rash health healing,jpg,INTEGRITY,7
A-5,NICU records and personal logs of Harper's weight and developmental milestones tracked by Craig Schulz,2024-11-12,nicu weight logs milestones hospital,pdf,INTEGRITY,6
A-6,Text message log from Dec 9 showing Emma Ryan giving Craig one hour to leave the home,2024-12-09,text ultimatum leave house 250pm,jpg,COMMUNICATION,8
A-7,Police call logs and communication records regarding daily wellness checks for Harper Ryan,2024-12-10,police wellness checks call log,pdf,OBSTRUCTION,8
A-8,Medical report from Saint John Regional Hospital regarding Harper's blood tests (jaundice),2024-11-12,blood report jaundice hospital labs,pdf,SAFETY,7
A-9,Communication records showing Emma Ryan admitting to locking herself out of accounts/numerical difficulties,2024-05-01,text laptop erase pin error,jpg,INTEGRITY,5
A-10,Text exchange where Emma Ryan requests drug dealer 'T' (Tony Baker) while Craig is out,2025-05-06,text drug purchase tony baker stuff,jpg,SAFETY,10
A-11,Email from Emma Ryan stating she will withhold access to Harper until a judge is seen in October,2025-06-18,email denial access access judge october,pdf,OBSTRUCTION,9
A-12,Video evidence depicting Emma Ryan with a torch and methamphetamine pipe,2025-05-20,video meth pipe torch drug use,mp4,SAFETY,10
A-13,Text message from Emma Ryan using 'Hugh' (high) as a direct request for substance use,2025-05-15,text get hugh high drugs,jpg,SAFETY,9
A-14,Baby monitor audio recording of Emma Ryan screaming 'Get off!' during sexual intercourse,2025-01-15,audio monitor get off intercourse,mp3,INTEGRITY,9
A-15,Bank Statement entries showing e-transfers to Tony Baker (identified drug dealer),2024-08-01,bank statement etransfer tony baker,pdf,FINANCIAL,10
A-16,Urgent Motion for Emergency Interim Custody and Form 72J Financial Affidavit,2025-07-01,urgent motion custody financial affidavit,pdf,FINANCIAL,8
A-17,Video summary/thumbnail of Nov 19 altercation where Emma Ryan throws objects while Craig holds Harper,2024-11-19,video thumbnail assault holding harper,jpg,SAFETY,10
A-18,Video summary/thumbnail of Dec 9 incident showing Emma Ryan choking Craig Schulz,2024-12-09,video thumbnail choking self defense,jpg,SAFETY,10
A-1,"Photograph of Black Eye (Craig Schulz, ~Nov 2024) showing Violence/Abuse Pattern",2024-11-01,photograph black eye violence abuse pattern,jpg,SAFETY,10
A-2,"Text Messages - Emma: ""Beat the shit out of me"" and ""I'm really sorry for hitting you Craig...""",Unknown,text messages admission violence hitting sorry,png,PERJURY,10
A-3,Email Thread - Threats & Intimidation documenting DARVO Strategy Evidence,Unknown,email thread threats intimidation darvo strategy,pdf,COMMUNICATION,8
A-4,Medical Records - Emergency Room Visit (Nov 2024) and Video summaries of assault,2024-11-01,medical records emergency room injury documentation,pdf,SAFETY,9
A-5,Police Report #2024-XXXX - Domestic Assault including Formal Charging Confirmation,2024-12-09,police report domestic assault charging confirmation,pdf,SAFETY,10
A-6,"Screenshot - Emma: ""Methamphetamine Use"" Admission related to Child Safety",Unknown,screenshot methamphetamine use admission substance abuse,png,SAFETY,10
A-14,Screenshots - 19 Denied Sunday Visits documenting Parental Alienation/Contempt,2024-08-18,screenshots denied visits parental alienation contempt,png,OBSTRUCTION,9
A-22,Evidence of financial diversion for substance transactions and supervisor concerns,Unknown,financial records substance transactions diversion,pdf,FINANCIAL,8
A-24,"Text: Emma to Craig: ""I'm done... you do what you want"" - Maternal Abdication",Unknown,text message maternal abdication done,png,INTEGRITY,7
L-1,"Master Video Exhibit Log documenting assault, neglect, and parental bond",2024-12-09,video log img0669 assault child endangerment,mp4,SAFETY,10
A-1,Photo of severe diaper rash developed under mother's care,2024-11-17,photo harper diaper rash,jpg,SAFETY,8
A-2,Video of infant Harper responding to father's voice,2024-12-05,video harper responding sounds,mp4,INTEGRITY,5
A-3,Photo of child's first smile during playtime with father,2024-12-20,photo harper smiling mobile,jpg,INTEGRITY,4
A-4,Legal custody documents served to father by Emma's father,2024-12-27,pdf custody papers served,pdf,PERJURY,10
A-5,Medical record confirming infant's weight and health progress,2024-12-17,medical record weight checkup,pdf,INTEGRITY,7
A-6,Text message evidence of Emma's drug transactions with Tony Baker,Unknown,screenshot drug transactions emma,png,SAFETY,10
A-7,Police incident record - escorting Craig following conflict,2024-08-05,police report august incident,pdf,SAFETY,9
A-8,Police record - conflict mediation where Craig was advised to walk,2024-09-10,police log september conflict,pdf,SAFETY,7
A-9,Photo of Craig's black eye caused by Emma punching him,2024-11-19,photo black eye domestic violence,jpg,SAFETY,9
A-10,Handwritten statement by Emma alleging Craig is abusive/narcissistic,Unknown,handwritten affidavit emma allegations,jpg,PERJURY,10
A-11,Notice of First Court Appearance with incorrect year (January 2024),2024-12-17,notice court appearance wrong date,jpg,PERJURY,10
A-1,Police Record - Assault Charge regarding incident where father punched son,2012-01-01,police assault charge father son rcmp,pdf,SAFETY,10
A-2,Psychological Assessment of Father (ADHD and Asperger’s diagnosis),2012-03-01,psychological assessment adhd aspergers father,pdf,SAFETY,9
A-3,Court-to-Court Judicial Communication Protocol - Appendix A in Giesbrecht,2013-01-01,judicial communication protocol giesbrecht appendix,pdf,COMMUNICATION,5
A-4,T1 General Form - Father's Undisclosed Capital Gain Records,2005-12-31,t1 general capital gain stock options tax,pdf,FINANCIAL,8
A-5,Employee Stock Option Exercise Records ($1.38M Gain),2005-01-01,stock option exercise capital gain mcneil,pdf,FINANCIAL,7
A-6,Psychologist Court-Ordered Report (Mental Health Opinion),2013-01-01,psychologist report mental health expert opinion,pdf,INTEGRITY,8
A-7,Home Study Report - Clinical Social Worker (Children's Preferences),2012-01-01,home study social worker relocation wishes,pdf,COMMUNICATION,6
A-8,Tax-Free Living Allowance Receipts (Fort McMurray),2014-01-01,living allowance receipts fort mcmurray calver,jpg,FINANCIAL,4
A-9,Father's Lifestyle Evidence - Tropical Vacation and Orthodontic Receipts,2014-01-01,lifestyle expenditures vacation orthodontic receipts,pdf,INTEGRITY,7
A-10,Policy 713 - Sexual Orientation and Gender Identity (Revised),2023-06-08,policy 713 gender identity education nb,pdf,INTEGRITY,9
A-1,Police Email - Assault Charge Confirmation,2025-09-26,police email assault charge,pdf,PERJURY,10
A-2,Text message from Emma Ryan admitting to hitting Craig Schulz,2024-11-21,text sorry hitting admission screenshot,jpg,PERJURY,10
A-3,Police Email - Verification of Criminal Assault Charge Against Emma Ryan,2025-09-25,police email assault charge confirmation,pdf,SAFETY,10
A-4,Photograph documenting severe diaper rash neglected in Emma's care and its healing,Unknown,photo diaper rash healing documentation,jpg,SAFETY,8
A-7,Communications related to Emma's delay in retrieving Harper after the Dec 9 incident,2024-12-09,december communication retrieval delay,pdf,COMMUNICATION,7
A-8,Selfie with courthouse clock/locked door showing sheriff closed five minutes early,2025-11-07,selfie courthouse clock locked door obstruction,jpg,OBSTRUCTION,8
A-10,Screenshot of 'Two Roofs One Home' co-parenting application concept,Unknown,two roofs one home app screenshot,png,COMMUNICATION,5
A-18,"Video summary of December 9, 2024 assault by Emma Ryan",2024-12-09,video summary assault emma,mp4,SAFETY,10
A-19,Craig Schulz's driving history and conviction record,Unknown,craig schulz driving history conviction record,pdf,INTEGRITY,6
A-20,Documentation related to Craig Schulz's past gambling and business failure,2021-01-01,gambling business failure documentation,pdf,INTEGRITY,5
A-21,Affidavit from local gas station owner Mentorship/Character Reference,Unknown,character reference affidavit gas station owner,pdf,INTEGRITY,6
A-22,Financial screenshots showing e-transfers to known drug dealer Tony Baker,Unknown,etransfer screenshots drug dealer tony baker,jpg,FINANCIAL,10
A-87,Affidavit of Dale Campbell stating commitment as backup guardian,2025-11-07,dale campbell affidavit backup guardian,pdf,FINANCIAL,9
A-1,Police Email - Confirmation of Emma Ryan's arrest by RCMP in relation to domestic assault (File 25-2390069).,2025-09-26,police email emma ryan arrest domestic assault,pdf,SAFETY,10
A-2,"Text message screenshot - Emma Ryan admitting to hitting Craig Schulz: ""I'm really sorry for hitting you Craig.""",2024-11-22,text sorry hitting emma craig admission,jpg,PERJURY,10
A-3,Medical Review Officer's Report - Craig Schulz comprehensive drug test reporting negative results for all substances.,2025-01-30,craig schulz negative drug test mro,pdf,INTEGRITY,9
A-4,Photograph - Severe diaper rash on Harper Ryan discovered on the night of emergency removal.,2024-12-09,harper diaper rash neglect medical,jpg,SAFETY,10
A-5,Text message screenshot - Emma Ryan admitting to methamphetamine exposure to Harper via breastmilk.,2024-11-30,meth breastmilk admission emma harper,jpg,SAFETY,10
A-6,Photograph - Emma Ryan holding and cleaning a methamphetamine pipe.,2025-05-22,emma meth pipe cleaning active drug use,jpg,SAFETY,10
A-7,"Medical Review Officer's Report - Emma Ryan drug test flagged as ""Negative Dilute.""",2025-01-06,emma ryan negative dilute drug test,pdf,INTEGRITY,8
A-8,"Facebook Messenger Log - Jane Ryan stating ""if you want to see the baby you can take me to court,"" refusing access.",2025-10-19,jane ryan contempt take me to court access denial,pdf,OBSTRUCTION,9
A-9,Financial Records - PLATINUM ROOFING INC. e-Transfer deposits to Emma Ryan totaling thousands of dollars.,2024-07-01,platinum roofing deposits emma ryan support,jpg,FINANCIAL,7
A-10,Text message log - Social Worker Jacklyn denying conflict of interest despite Facebook friendship with Emma's brother.,2024-09-01,jacklyn social worker conflict interest disclosure,jpg,INTEGRITY,9
A-11,"Facebook Messenger Log - Emma Elizabeth stating she will ""never ever take her from you.""",2024-11-20,emma never take baby from you text,jpg,COMMUNICATION,6
A-12,Photograph - Mirror in apartment showing meticulous health and diaper logs created by Craig Schulz.,2024-11-17,mirror health log harper meticulous care,jpg,INTEGRITY,7
A-1,"Police Confirmation of Arrest (Sept 26, 2025). Documents official police record of arrest related to domestic assault charge.",2025-09-26,police arrest confirmation assault,pdf,SAFETY,10
A-2,"Text Admission of Violence (Dec 27, 2024). Text message where applicant admits to physical or verbal violence.",2024-12-27,text admission violence screenshot,jpg,PERJURY,10
A-3,"Admission of Meth Use During Pregnancy (Dec 10, 2024). Text confirmation of drug use while pregnant.",2024-12-10,meth use pregnancy admission text,jpg,SAFETY,8
A-4,"Photograph of Severe Diaper Rash (Dec 9, 2024). Shows physical signs of medical neglect.",2024-12-09,diaper rash neglect photo,jpg,SAFETY,9
A-5,"Medical Report - Drug Test: Negative Dilute (Jan 6, 2025). Indicates a likely attempted drug test evasion.",2025-01-06,drug test negative dilute report,pdf,INTEGRITY,8
A-6,"Photograph of Meth Pipe & Propane Torch (May 22, 2025). Shows active drug paraphernalia in child's environment.",2025-05-22,meth pipe torch drug photo,jpg,SAFETY,9
A-7,"Interim Parenting Order (Oct 6, 2025). Official court order detailing parenting access and supervisor roles.",2025-10-06,interim parenting order maude,pdf,COMMUNICATION,7
A-8,"Email: Access Denial (June 18, 2025). Email from applicant explicitly denying court-ordered access.",2025-06-18,email access denial obstruction,pdf,OBSTRUCTION,10
A-9,"Jane Ryan Contempt Admission (Oct 22, 2025). Audio/Transcript admission of role in access denial.",2025-10-22,jane ryan contempt admission,pdf,OBSTRUCTION,10
A-10,E-Transfers to Drug Supplier (Multiple). Financial records showing payments for illegal substances.,Unknown,etransfer drug supplier payment,pdf,FINANCIAL,8
A-11,"Admission of Meth in Breastmilk (Nov 30, 2024). Text admission of drug use while nursing Harper.",2024-11-30,meth breastmilk admission text,jpg,SAFETY,10
A-13,"Contradicting Kidnapping Claim (Dec 9, 2024). Evidence disproving applicant's false kidnapping narrative.",2024-12-09,kidnapping claim contradiction text,jpg,PERJURY,8
A-14,"Medical Records Request (Feb 13, 2025). Proactive request for child's health history by respondent.",2025-02-13,medical records request harper,pdf,INTEGRITY,5
A-16,"Health Tracking Log Photo (Nov 17, 2024). Record of newborn health maintenance by respondent.",2024-11-17,health tracking log newborn,jpg,INTEGRITY,5
A-17,Character Reference - Ex-Partner (Jan 2025). Statement confirming respondent's stable long-term history.,2025-01-01,character reference ex partner,jpg,INTEGRITY,8
A-22,Contempt Log - 18 Denied Sundays (129+ Days). Detailed record of all access violations.,Unknown,contempt log 129 days denial,pdf,OBSTRUCTION,10
A-56,"Respondent's Drug Test: Clean/Negative (Jan 30, 2025). Negative result for all controlled substances.",2025-01-30,respondent negative drug test,pdf,INTEGRITY,8
A-76,"Respondent's Injury Photographs (Dec 10, 2024). Photos of physical injuries sustained by respondent during domestic incident.",2024-12-10,respondent injury photo assault,jpg,SAFETY,10
A-79,FaceTime with Unknown Male (Apr 2025). Interaction involving child and unidentified associate of applicant.,2025-04-01,facetime unknown male video,jpg,SAFETY,7
A-84,"Integrity Certification (Nov 5, 2025). Professional certification of file hash and authenticity.",2025-11-05,evidence integrity certification,pdf,INTEGRITY,10
A-1,Police Confirmation of Arrest - Email from Constable Benjamin Cannon confirming Emma Ryan's arrest for domestic assault,2025-09-26,police email assault charge,pdf,SAFETY,10
A-2,Text message from Emma Ryan admitting to hitting Craig Schulz,2024-11-21,text apology hitting admission screenshot,jpg,PERJURY,10
A-3,Admission of Methamphetamine use during pregnancy and postpartum in text exchange,2024-12-10,text meth pregnancy admission screenshot,jpg,SAFETY,10
A-4,Photograph of severe diaper rash on Harper Ryan while in Applicant's care,2024-12-09,photo diaper rash neglect,jpg,SAFETY,8
A-5,Applicant's drug test result reported as 'Negative - Dilute',2025-01-06,drug test negative dilute report,pdf,INTEGRITY,7
A-6,Photograph of Applicant handling a meth pipe and propane torch in the home,2025-05-22,photo meth pipe torch endangerment,jpg,SAFETY,10
A-8,Email from Applicant declaring intent to block parenting time until October court date,2025-06-18,email access denial intent,pdf,OBSTRUCTION,9
A-9,Call recording transcript where Jane Ryan refuses a court-ordered exchange,2025-10-22,transcript jane ryan contempt call,pdf,OBSTRUCTION,9
A-10,Bank record screenshots showing E-transfers to an alleged drug supplier,2024-08-01,etransfer bank supplier drug screenshot,png,FINANCIAL,8
A-11,Text admission regarding 'meth in breastmilk' for 5 days or more,2024-11-30,text meth breastmilk exposure admission,jpg,SAFETY,10
A-12,Signed Parenting Agreement through Custody Xchange,2025-01-22,parenting agreement signed january,pdf,COMMUNICATION,6
A-22,Contempt Log documenting 18 denied Sundays and 129 consecutive days of isolation,2025-10-09,contempt log denied access isolation,pdf,OBSTRUCTION,10
A-56,Respondent's (Craig Schulz) Negative Drug Test Result,2025-01-30,craig drug test negative report,pdf,INTEGRITY,8
B-1,Affidavit of Unconditional Financial Commitment from Respondent's Uncle,2025-11-14,affidavit financial support uncle dale,pdf,FINANCIAL,7
L-1,Master Video Log Index of irrefutable visual evidence of violence and drug use,2025-11-10,master video log evidence mp4,mp4,SAFETY,10
A-1,Police Record - Assault Charge Confirmation,2025-09-26,police email assault charge,pdf,PERJURY,10
A-2,Text Message Admission - Violence Statement,2024-11-21,text sorry hitting admission screenshot,jpg,PERJURY,10
A-3,Judicial Decision - Re Drake and Minister for Immigration and Ethnic Affairs No 2,1979-01-01,drake minister immigration ethnic affairs,pdf,INTEGRITY,6
A-4,High Court Decision - Attorney-General (NSW) v Quin,1990-01-01,nsw quin attorney general,pdf,INTEGRITY,7
A-5,High Court Decision - Dietrich v The Queen,1992-01-01,dietrich queen stay representation,pdf,SAFETY,9
A-6,UK Supreme Court Decision - R (Begum) v Special Immigration Appeals Commission,2021-01-01,begum immigration appeals commission,pdf,OBSTRUCTION,8
A-7,Australian Legal Services Directions 2017,2017-01-01,legal services directions model litigant,pdf,COMMUNICATION,5
A-8,Child Welfare Report - Suspected Abuse Case,Unknown,child abuse report sdds,pdf,SAFETY,10
A-9,Financial Statement - Joint Family Venture Assets,Unknown,financial statement joint family venture assets,pdf,FINANCIAL,7
A-1,"Photograph of black eye sustained November 19, 2024, following alleged assault by Applicant.",2024-11-19,black eye photo assault injury,jpg,SAFETY,10
A-2,"Text message admission from Emma Ryan: ""I'm really sorry for hitting you Craig...""",2024-11-21,text sorry hitting admission screenshot,jpg,PERJURY,10
A-3,Email thread documenting threats and intimidation by Applicant.,Unknown,email threats intimidation darvo,pdf,COMMUNICATION,7
A-4,Medical Records - Emergency Room Visit (Nov 2024) documenting injuries to Respondent.,2024-11-01,medical records er visit injuries,pdf,SAFETY,9
A-5,Police Report regarding Domestic Assault incident.,2024-01-01,police report domestic assault corroboration,pdf,SAFETY,9
A-6,"Screenshot of Emma Ryan admitting to ""Methamphetamine Use"".",Unknown,screenshot meth use admission,jpg,SAFETY,10
A-7,Financial Records showing Rent Non-Payment by Applicant.,2024-08-01,financial records rent nonpayment,pdf,FINANCIAL,5
A-8,"Text message from Applicant stating ""I'm not getting anything nutritious..."" regarding child's care.",Unknown,text neglect nutritious food,jpg,SAFETY,8
A-9,Communication from Supervisor regarding concerns about placement/fitness.,Unknown,supervisor email placement concerns,pdf,INTEGRITY,8
A-14,Detailed Contempt Log and Screenshots documenting 19 Denied Sunday Visits.,2024-08-18,contempt log denied visits screenshots,pdf,OBSTRUCTION,10
A-15,Employment Record confirming Craig Schulz's stable roofing job.,Unknown,employment record job stability,pdf,FINANCIAL,6
A-22,Bank account screenshots showing e-transfers to alleged drug supplier.,Unknown,bank screenshots etransfer drug supplier,jpg,FINANCIAL,10
A-34,Screenshot of group chat discussing substance use concerns by Applicant.,Unknown,group chat substance use pattern,jpg,SAFETY,8
A-66,Affidavit from family member serving as a relative character reference.,Unknown,affidavit character reference family,pdf,INTEGRITY,5
A-84,Video Footage: Harper discussing comfort and bond with Craig.,Unknown,video harper comfort dada,mp4,COMMUNICATION,9
A-87,Video Footage: Expert Commentary providing Best Interest Analysis.,Unknown,video expert commentary analysis,mp4,INTEGRITY,7
L-1,Master Video Exhibit Log - Index of all digital video evidence.,2025-11-03,master video log index,pdf,INTEGRITY,8
A-1,Photograph of Black Eye (Craig Schulz) showing physical injury from violence/abuse,2024-11-01,photo black eye craig schulz violence abuse,jpg,SAFETY,10
A-2,"Text Messages from Emma Ryan admitting ""Beat the shit out of me"" and ""I'm really sorry for hitting you Craig""",Unknown,text emma beat sorry hitting craig admission,jpg,PERJURY,10
A-3,"Email Thread showing threats, intimidation, and DARVO strategy evidence",Unknown,email thread threats intimidation darvo strategy,pdf,COMMUNICATION,8
A-4,Medical Records and Video Summaries - Emergency Room Visit documenting injuries,2024-11-01,medical records emergency room injury visit documentation,pdf,SAFETY,10
A-5,Police Report #2024-XXXX regarding Domestic Assault/Assault Charge Confirmation,2024-12-09,police report domestic assault charging confirmation sjpf,pdf,SAFETY,10
A-6,"Screenshot - Emma Ryan admission of ""Methamphetamine Use""",Unknown,screenshot methamphetamine use admission substance abuse,png,SAFETY,10
A-14,Screenshots documenting 19 Denied Sunday Visits and parental alienation,2024-08-18,screenshots denied sunday visits parental alienation contempt,jpg,OBSTRUCTION,9
A-22,Financial Records/Bank Statements showing e-transfers for substance transactions,Unknown,financial records etransfer substance transaction bank statements,pdf,FINANCIAL,9
A-84,Video #1 - Harper discussing comfort and relationship with Craig Schulz,Unknown,video harper comfort craig childs voice,mp4,COMMUNICATION,10
L-1,Master Video Exhibit Log - Index of digital files showing assault and perjury refutation,2025-11-03,master video log index digital evidence,pdf,INTEGRITY,10
A-1,"Police Assault Charge File No. 25-2390069 and arrest record (Sept 23, 2025) involving Applicant",2025-09-23,police assault charge arrest record 252390069,pdf,PERJURY,10
A-2,"Text Message Admission - ""I'm really sorry for hitting you Craig""",2024-11-21,text sorry hitting admission screenshot,jpg,PERJURY,10
A-4,Video Recording - Applicant throwing objects while holding infant,2024-11-19,video violence throwing infant,mp4,SAFETY,10
A-9,Access Denial Documentation - Photographic/written proof of denied Sunday visits,2025-06-04,access denial visit proof,pdf,OBSTRUCTION,9
A-13,"Text Message Admission - ""access will be withheld until October""",2025-06-18,text access withheld contempt intent,jpg,OBSTRUCTION,10
A-35,Drug Test Results - Negative Dilute result with Medical Review Officer (MRO) notation,2025-01-08,drug test negative dilute mro,pdf,INTEGRITY,8
A-66,Financial Records - E-transfers to alleged drug dealer Tony Baker,2025-01-01,etransfer bank statement drug dealer,pdf,FINANCIAL,7
A-81,Medical Records - Pediatric notes regarding severe diaper rash,2024-11-15,medical pediatric diaper rash neglect,pdf,SAFETY,6
A-82,"Medical Record - Hospital discharge with provider comment (""Your secret is safe with me"")",2024-11-12,hospital discharge provider comment secret,pdf,INTEGRITY,9
A-87,Witness Affidavit - Amber Campbell regarding Oct 6 hearing bias,2025-10-06,affidavit amber campbell hearing bias,pdf,COMMUNICATION,8
A-1,Master Evidence Log - Chronological log of key events and communications,2025-11-03,master evidence log chronology communications,pdf,COMMUNICATION,8
A-2,Text Message Admission - Emma Ryan admitting to hitting Craig Schulz,2024-11-21,text sorry hitting admission screenshot,jpg,PERJURY,10
A-3,Text Exchange - Applicant admits drug use during pregnancy and post-delivery,2024-12-10,text drug use admission meth pregnancy,png,SAFETY,10
A-4,Photograph - Severe diaper rash healing while in Respondent's care,2025-05-24,photo diaper rash healing neglect,jpg,SAFETY,7
A-7,Communication Log - Daily contact updates and police wellness check records,2024-12-09,police wellness check communication log,pdf,COMMUNICATION,6
A-10,Screenshot - 'Two Roofs One Home' Parenting Application concept and tracking,2025-11-03,app screenshot milestone tracking parenting,png,COMMUNICATION,5
A-18,"Video Summary - Dec 9, 2024 incident showing Applicant's aggression",2024-12-09,video summary assault aggression frying pan,pdf,SAFETY,10
A-19,Respondent's Driving History - Record including 2019 DUI,2025-11-03,driving history dui conviction record,pdf,INTEGRITY,4
A-20,Financial Documentation - Past gambling and business failure records,2021-12-31,business failure gambling financial struggle,pdf,FINANCIAL,4
A-21,Affidavit from Tom Daly - Community character reference/mentor,2025-11-03,affidavit mentor tom daly character reference,pdf,INTEGRITY,7
A-22,Financial Record - Screenshots of e-transfers to Third Party A (drug dealer),2024-08-01,etransfer drug dealer financial record,jpg,FINANCIAL,9
B-1,Video - Applicant cleaning a meth pipe in the maternal home,2025-05-20,video meth pipe cleaning paraphernalia,mp4,SAFETY,10
L-1,Master Video Exhibit Log - Index and summary of all video evidence,2025-11-03,master video log index evidentiary summary,pdf,COMMUNICATION,8
A-87,Signed Parental Agreement - Document signed by Emma Ryan,2025-01-22,parental agreement signed emma ryan,pdf,INTEGRITY,9
A-2,Text Admission - I'm really sorry for hitting you,2024-11-21,text sorry hitting admission screenshot,jpg,PERJURY,10
A-3,Hospital records or 911 log for Cyanosis incidents,2025-11-01,cyanosis 911 hospital medical record,pdf,SAFETY,10
A-4,Photo and Weather Report - Unattended child in car at -22C,2026-01-05,car incident freezing cold unattended,png,SAFETY,10
A-5,Video of grandmother leaving child unattended at gas station,2026-01-05,irving video unattended child car,mp4,SAFETY,10
A-6,Records of 129-day access denial,2025-06-04,access denial timeline harper,pdf,OBSTRUCTION,9
A-7,Emails regarding Father's Day access denial,2025-06-15,fathers day denial email,pdf,COMMUNICATION,8
A-8,Receipt of NBASW and Child Advocate complaints,2026-01-06,nbasw complaint child advocate receipt,pdf,INTEGRITY,7
A-9,CRA Payment Notices - GST and Carbon Tax rebates,2026-01-09,cra gst carbon rebate tax,pdf,FINANCIAL,6
A-10,Photos of child's bedroom and safety modifications,2026-01-11,bedroom smoke detector home safety,jpg,SAFETY,7
A-1,Text message apology from Emma to Craig justifying actions and claiming sole care of Harper.,2024-11-19,text emma apology actions harper care,jpg,COMMUNICATION,7
A-2,Craig accusing Emma of abandoning daughter to use drugs.,2025-06-12,text craig accusation abandonment drugs harper,jpg,SAFETY,9
A-3,Text message where Emma accuses Craig of assault and drug seeking behavior.,Unknown,text emma assault drugs trash apartment,jpg,INTEGRITY,8
A-4,Text regarding drug transaction arrangement and delivery to mailbox.,2024-10-06,text drug delivery mailbox conceal craig,jpg,INTEGRITY,10
A-5,Physical assault evidence - Emma hitting Craig 50 times in the face.,Unknown,physical assault punches face violence,mp4,SAFETY,10
A-6,Emma's official iCash Pre-Authorized Debit form for a payday loan.,2024-10-11,icash document payday loan emma ryan,pdf,FINANCIAL,5
A-7,Emma's statement/affidavit alleging systemic abuse and requesting full custody.,2024-12-14,emma affidavit custody abuse allegations,pdf,PERJURY,9
A-8,Craig's photo documenting facial injuries from Emma's rage.,2024-12-10,photo craig injuries bruises face emma,jpg,SAFETY,10
A-9,Screen recording of a suspicious male fleeing Emma's residence.,2025-04-XX,video recording male running driveway residence,mp4,SAFETY,7
A-10,Email from Emma restating unilateral denial of access to Harper.,2025-06-18,email emma access denial harper judge,pdf,OBSTRUCTION,8
A-1,Dimitra Pantazopoulos Written Brief submitted to the Committee,2024-02-27,dimitra pantazopoulos brief survivor story fear children safety,pdf,SAFETY,8
A-2,Witness 1 Oral/Written Evidence to the Standing Committee on the Status of Women,2024-10-23,witness 1 evidence domestic violence legal advice family court,pdf,PERJURY,9
A-3,Kamal Dhillon Oral/Written Evidence to the Standing Committee on the Status of Women,2024-10-07,kamal dhillon evidence survivor story domestic violence voice,pdf,INTEGRITY,7
A-4,Canadian Centre for Women’s Empowerment Research Report (Ottawa region),2021-01-01,economic abuse research 2021 ottawa gender based violence,pdf,FINANCIAL,10
A-5,Supreme Court of Canada Decision - Dunmore v. Mehralian,2025-06-01,dunmore mehralian 2025 scc 20 coercive control family violence,pdf,OBSTRUCTION,10
A-6,Mass Casualty Commission Final Report - Turning the Tide Together,2023-03-30,mass casualty commission final report nova scotia gunman violence,pdf,SAFETY,10
A-7,DCFS Form SS 8572 - Suspected Child Abuse Report (SCAR),2025-10-10,ss 8572 scar suspected child abuse report form dcfs,pdf,COMMUNICATION,9
A-8,DCFS 196 - Notice of Referral Closure,2025-10-10,dcfs 196 notice referral closure mandated reporter feedback,pdf,COMMUNICATION,5
A-9,JV-210 - Application to Commence Juvenile Court Proceedings by Affidavit,2025-10-10,jv 210 application juvenile court proceedings social worker decision,pdf,INTEGRITY,8
A-10,Libananco Holdings Co. Limited v. Turkey - Decision on Preliminary Issues,2008-06-23,libananco turkey icsid case email interception counsel privilege,pdf,OBSTRUCTION,10
