Exhibit Number,Description,Date,Category,Priority,File Type,Keywords,Legal Significance,Status,Source
A-10,Corporate search for 2782708 Ontario Inc.,2020-12-03,INTEGRITY,9,pdf,corporate search ownership fraud,Revealed parents of the wife were the secret purchasers of the matrimonial home.,Original - Government Record,13
A-1,Photograph of black eye sustained by Craig Schulz due to alleged assault by Emma Ryan.,2024-11-19,SAFETY,10,jpg,black eye photo assault injury,Direct physical evidence of domestic violence by the applicant against the respondent.,Original - Digital Photo,"14, 15"
A-2,"Text message admission from Emma Ryan: ""I'm really sorry for hitting you, Craig. I just don't know what else to do when I get that angry.""",2024-11-21,PERJURY,10,jpg,text sorry hitting admission screenshot,Direct written admission of physical violence; refutes applicant's claims of being the victim.,Screenshot - Cryptographically Verified,14
A-3,Text message screenshot where Emma Ryan admits to methamphetamine exposure to infant via breast milk.,2024-12-10,SAFETY,10,jpg,text meth exposure breast milk,Proves immediate child endangerment and medical negligence regarding infant's safety.,Screenshot,14
A-4,Photograph of infant Harper with severe medically significant diaper rash.,2024-12-09,SAFETY,8,jpg,diaper rash neglect photo,Evidence of physical neglect occurring while child was in the mother's care.,Original - Digital Photo,14
A-5,Drug test report for Emma Ryan showing a 'negative dilute' result.,2025-01-06,OBSTRUCTION,9,pdf,drug test negative dilute report,Indicates probable evasion or masking of substance use; judicially suspicious result.,Copy - Medical Record,14
A-6,Video/Screenshot allegedly showing Emma Ryan cleaning a meth/crack pipe in the maternal home near the child.,2025-05-22,SAFETY,10,jpg,meth pipe cleaning paraphernalia,Evidence of drug paraphernalia in the infant's immediate care environment.,Original - Video Frame,14
A-7,Interim Parenting Order granting specific Sunday parenting time to Craig Schulz.,2025-10-06,COMMUNICATION,7,pdf,interim order parenting schedule,Established binding legal access rights; basis for contempt motion.,Original - Court Record,14
A-8,"Email from Emma Ryan stating ""Won't see Harper until we see a judge in October.""",2025-06-18,OBSTRUCTION,10,pdf,email access refusal judge october,Proof of willful intent to defy a court order and deny access.,Screenshot/Copy,"14, 15"
A-9,"Text message from Jane Ryan stating ""If you want to see Harper, you can take me to court yourself.""",2025-10-22,OBSTRUCTION,10,jpg,jane ryan text take me to court,Evidence of third-party interference and willful contempt by the maternal grandmother.,Screenshot,14
A-10,Financial records showing e-transfers from Emma Ryan to alleged drug supplier Tony Baker.,Unknown,FINANCIAL,9,pdf,etransfer financial drug dealer records,Links financial resource diversion directly to alleged substance abuse pattern.,Copy - Bank Record,14
A-11,Video Index documenting Emma Ryan throwing objects and hitting baby gate/child.,2024-12-09,SAFETY,10,mp4,video assault frying pan gate,Direct visual evidence of violent behavioral escalation and danger to the infant.,Original - Video Record,"14, 15"
A-12,Formal complaint against DSD social worker Jaclyn Galant filed with NBSW.,2025-02-10,INTEGRITY,8,pdf,nbasw complaint social worker galant,Documents institutional failure and alleged conflict of interest in safety assessment.,Original - Professional Filing,14
A-13,Communication log showing 129 consecutive days of access denial and 18 missed Sunday visits.,2025-10-10,OBSTRUCTION,10,pdf,denial log access 129 days,Quantitative proof of systematic parental alienation and breach of court orders.,Original - Litigation Log,14
A-14,Email bounce-back notifications from Emma Ryan's accounts on infant's 1st birthday.,2025-11-12,COMMUNICATION,8,jpg,birthday email bounce full mailbox,Proves willful communication blockage and malicious alienation on significant milestone.,Screenshot - Server Error,"14, 16"
A-15,Photograph of Emma Ryan holding a meth pipe and a propane torch simultaneously.,2025-05-22,SAFETY,10,jpg,meth pipe propane torch photo,Evidence of extreme fire hazard and active drug use in child's presence.,Original - Digital Photo,14
A-1,"Police Confirmation of Applicant's criminal assault charge regarding Dec 9, 2024 incident",2025-09-26,SAFETY,10,pdf,police confirmation assault charge emma ryan,Proves criminal charge against applicant for family violence,Original - Government Record,17
A-2,Text Message Admission - Emma Ryan apologizing for hitting Craig Schulz,2024-11-21,PERJURY,10,jpg,text admission emma hitting craig screenshot,Direct admission of physical assault; refutes applicant's claims of being the victim,Original - Screenshot,17
A-3,Admission of Methamphetamine use during pregnancy,Unknown,SAFETY,10,pdf,methamphetamine use pregnancy admission,Proves profound risk to infant safety and neurological health,Original,17
A-4,Photographic evidence of severe diaper rash on infant Harper,2024-12-09,SAFETY,8,jpg,harper diaper rash neglect photo,Documents physical neglect while in the applicant's care,Original - Photo,17
A-5,Applicant's drug test result showing 'Negative - Dilute',2025-01-29,INTEGRITY,9,pdf,drug test negative dilute emma ryan,Suggests willful evasion or masking of substance use; major legal red flag,Copy - Lab Report,17
A-6,Video evidence of Applicant cleaning a meth pipe and torch,Unknown,SAFETY,10,mp4,video meth pipe cleaning emma,Direct visual evidence of illegal substance activity in home,Original - Video,17
A-8,Email from Applicant declaring intention to block total access to Harper,Unknown,OBSTRUCTION,9,pdf,email block access harper emma ryan,Direct proof of willful intent to deny court-ordered access and alienation,Original - Email,17
A-9,Call records/transcripts where Jane Ryan admits to and enforces denial of access,Unknown,OBSTRUCTION,8,pdf,jane ryan call transcript denial access,Proof of third-party willful obstruction and alienation campaign,Original - Transcript,17
A-10,Financial records of e-transfers to alleged drug supplier,Unknown,FINANCIAL,9,pdf,etransfer drug supplier financial records,Establishes pattern of procurement and diversion of funds for drugs,Copy - Bank Record,17
A-11,Acknowledgment of methamphetamine in breastmilk by Applicant,Unknown,SAFETY,10,jpg,meth breastmilk acknowledgment text,Proves immediate physical endangerment of the infant,Original - Screenshot,17
A-22,Detailed chronological contempt log tracking 18+ denied Sunday visits,2025-06-04,OBSTRUCTION,10,pdf,contempt log denied visits access,Mathematical proof of systematic violation of interim court order,Original - Spreadsheet,17
A-32,Photograph of Applicant with propane torch and meth pipe,2025-05-22,SAFETY,10,jpg,emma ryan torch meth pipe photo,Direct visual evidence of active substance abuse postpartum,Original - Photo,17
A-56,Respondent's (Craig Schulz) negative drug test result,2025-01-31,INTEGRITY,7,pdf,craig schulz drug test negative,Establishes respondent's sobriety and counters allegations of unfitness,Copy - Lab Report,17
A-64,Jointly signed parenting plan document subsequently ignored by Applicant,2025-01-22,INTEGRITY,8,pdf,signed parenting plan agreement jan 22,Shows bad faith/deception in stalling legal filings,Copy - Signed Document,17
A-79,Applicant's Official 2024 Notice of Assessment (NOA),2025-11-01,FINANCIAL,6,pdf,noa 2024 applicant financial accountability,Verified income and financial integrity documentation,Copy - Government Record,17
A-1,AI Version of events transcribed video - 12092024,2024-12-09,COMMUNICATION,8,png,ai version events transcribed video 12092024,Transcription of visual evidence regarding custody events,Screenshot,18
A-2,Craig's Identification,2025-09-03,INTEGRITY,5,png,craigs identification,Verification of party identity,Original,18
A-3,Dad's Negative Drug Screen,2025-09-03,SAFETY,9,png,dads negative drug screen,Proves sobriety and fitness of parent,Copy,18
A-4,Emma Affidavit Pages 1-2 of 17,2025-09-03,PERJURY,7,png,emma affidavit pages 1 2 of 17,Sworn statement regarding case facts,Original,18
A-5,Emma Apology Text 11222024,2024-11-22,COMMUNICATION,10,png,emma apology text 11222024,Admission against interest; apology for past behavior,Screenshot,18
A-6,Emma Drug Screen Negative Dilute,2025-09-03,SAFETY,8,png,emma drug screen negative dilute,Parental safety check; dilute result suggests potential tampering,Copy,18
A-7,Emma Financial Example - Craig's pay being deposited,2025-09-03,FINANCIAL,7,png,emma financial example craigs pay deposited,Evidence of financial commingling or control,Original,18
A-8,Emma Meth Pipe 052425,2025-05-24,SAFETY,10,png,emma meth pipe 052425,Direct evidence of illegal drug paraphernalia and endangerment,Original,18
A-9,Harper Bum Rash 12092024,2024-12-09,SAFETY,9,png,harper bum rash 12092024,Evidence of medical neglect or hygiene issues,Original,18
A-10,March 24 Court Conference,2025-09-03,INTEGRITY,6,png,march 24 court conference,Record of prior court proceedings,Original,18
A-11,Tony Emma 12082024 Drugs,2024-12-08,SAFETY,9,png,tony emma 12082024 drugs,Evidence linking individuals to drug use,Screenshot,18
A-12,Gmail - Fwd: Subject Important Medical Information for Harper Ryan - Prenatal/Postnatal History,2025-06-22,COMMUNICATION,8,pdf,gmail medical information harper ryan prenatal postnatal history,Critical medical history and exposure history of the minor child,Copy,18
A-13,Video 2025-01-08.MP4,2025-01-08,SAFETY,10,mp4,20250108 mp4,Visual evidence of conduct affecting custody,Original,18
A-14,Emma email June 26th pickup confirmation,2025-06-28,COMMUNICATION,5,png,emma email june 26th pickup,Coordination of child transfer and compliance with schedule,Screenshot,18
A-15,Emma's reply to Christmas proposal,2025-07-02,COMMUNICATION,4,html,emmas reply christmas proposal,Evidence of negotiation regarding holiday parenting time,Original,18
A-16,Emma Nick St Pierre 0524 Photoshop Analysis,2025-06-30,PERJURY,9,pdf,emma nick st pierre 0524 photoshop,Proves alteration of evidence by the other party,Original,18
A-1,"Police Records - Documentation of domestic abuse, substance abuse, or safety concerns",Unknown,SAFETY,9,pdf,police record arrest domestic abuse safety,Proves history of violence or legal safety concerns which influence custody decisions.,Original - Government Record,19
A-2,Electronic Breathalyzer Results - Concrete data on alcohol consumption levels,Unknown,INTEGRITY,10,pdf,bactrack breathalyzer test result sobriety,Concrete electronic evidence used to refute or prove Substance Use Disorder claims.,Original - Electronic Record,19
A-3,Employment and School Records - Third-party proof of parental stability and responsibility,Unknown,INTEGRITY,8,pdf,employment school records stability attendance,Demonstrates stability of the parent's lifestyle and caregiving capability.,Original,19
A-4,Bank Records - patterns of spending related to substance use or financial responsibility,Unknown,FINANCIAL,7,pdf,bank statement spending patterns substance use,Used to establish irresponsible financial habits or evidence of substance abuse behaviors.,Copy,19
A-5,"Medical Records - Documentation of health issues, disabilities, or Substance Use Disorder",Unknown,SAFETY,9,pdf,medical records health diagnosis sud,Essential for proving physical or emotional conditions affecting parenting ability.,Original,19
A-6,Social Media Screenshots - Posts demonstrating disregard of custody terms or disparagement,Unknown,COMMUNICATION,6,png,social media screenshot post disparagement,Evidence of one parent disparaging the other or violating restraining orders.,Screenshot,19
A-7,"Personal Communications - Texts, emails, or letters relevant to parenting behavior",Unknown,COMMUNICATION,8,pdf,texts emails letters communication behavior,Shows interaction patterns and potential behavioral issues relevant to the child's interests.,Copy/Screenshot,19
A-8,Social Services Reports - Investigations into child welfare ordered by the court,Unknown,SAFETY,10,pdf,social services report welfare investigation,Critical independent assessment of the child's welfare and home environment.,Original - Government Record,19
A-9,Private Investigator Reports - Refutation or confirmation of claims made by the opposing party,Unknown,INTEGRITY,7,pdf,pi report investigator evidence search,Assists in refuting fabrications or proving hidden behaviors of the other party.,Original,19
A-10,Witness Statements - Testimony from neighbors or third parties regarding daily parenting life,Unknown,INTEGRITY,5,pdf,witness statement testimony parenting ability,Provides anecdotal evidence of how a parent's health or behavior affects daily life.,Original,19
A-11,Affidavit of Parental Preference - Expressed wishes of children over 10 or 12 years old,Unknown,INTEGRITY,9,pdf,child wishes affidavit preference,Statutory consideration given to the desires of the child in custody determinations.,Original,19
A-12,Evidence of Unilateral Action - Proof of parent moving first and asking permission later,Unknown,OBSTRUCTION,7,pdf,unilateral action move relocation evidence,"Evidence of bad conduct/obstruction, though not always determinative of the outcome.",Original,20
A-1,Court Ruling - Re Hardy (1979) - Opinion on third bankruptcy being excessive,1979-01-01,INTEGRITY,7,pdf,re hardy court ruling bankruptcy integrity,"Establishes judicial view that a third bankruptcy is one too many, testing the integrity of the process.",Copy,21
A-2,Court Ruling - Re Resnick (1990) - Observation on cycle of repeat bankruptcies,1990-01-01,INTEGRITY,6,pdf,re resnick court ruling repeat bankruptcy,Notes that multiple discharges may simply prepare the way for subsequent filings.,Copy,21
A-3,Court Case - Rogers (Trustee of) v. Canada (AG) - Refusal of fifth discharge due to tax arrears pattern,1989-01-01,FINANCIAL,9,pdf,rogers trustee canada ag fifth bankruptcy tax,Demonstrates court's power to refuse discharge for habitual bankrupts using the system for tax evasion.,Copy,21
A-4,OSB Statistical Report BKHQRA-2157 - Breakdown of repeat bankruptcies (2010-2012),2013-03-28,FINANCIAL,5,pdf,osb report bkhqra2157 repeat bankruptcy statistics,Provides empirical evidence of the growth and frequency of repeat filings in the Canadian system.,Original,21
A-5,Court Ruling - Re Pitre (2009) - Priority of system integrity over rehabilitation,2009-01-01,INTEGRITY,8,pdf,re pitre court ruling integrity vs rehabilitation,Upholds that system integrity overrides debtor rehabilitation in multiple bankruptcy cases.,Copy,21
A-6,Court Ruling - Re Willier (2005) - Test for concept of debtor recidivism,2005-01-01,INTEGRITY,7,pdf,re willier court ruling debtor recidivism,Identifies a third-time bankrupt as an example of economic recidivism requiring societal protection.,Copy,21
A-7,Court Ruling - Bank of Montreal v. Giannotti - Definitions of rehabilitation for honest debtors,2000-01-01,INTEGRITY,6,pdf,bank of montreal v giannotti court case,Clarifies that the fresh start is intended for honest and unfortunate debtors.,Copy,21
A-8,Court Ruling - Re Tang (2007) - Refusal of second discharge due to reckless behavior,2007-01-01,INTEGRITY,8,pdf,re tang court ruling reckless bankruptcy,Example of denial of discharge when a repeat filing is caused by non-rehabilitated behavior.,Copy,21
A-9,Court Ruling - Re Martens (1994) - Critique of the BIA used as a 'convenient ink remover' for taxes,1994-01-01,FINANCIAL,7,pdf,re martens tax driven bankruptcy ruling,Addresses misuse of BIA to avoid legitimate tax liabilities across multiple filings.,Copy,21
A-10,Evaluation of Mandatory Counselling Report - Audit and Evaluation Branch (2013),2013-01-01,COMMUNICATION,4,pdf,aeb report mandatory counselling evaluation 2013,Assesses whether statutory counselling is meeting its goal of reducing repeat filings.,Original,21
A-11,Court Ruling - Re Garness (2004) - Comparison of bankrupt to 'SARS-like presence',2004-01-01,INTEGRITY,8,pdf,re garness economic quarantine ruling,Emphasizes the need to protect the economic community from highly irresponsible repeat filers.,Copy,21
A-12,Court Ruling - Re Hiebert (2008) - Denial of fourth discharge for lack of insight,2008-01-01,INTEGRITY,9,pdf,re hiebert fourth bankruptcy discharge denial,Sets precedent for refusing discharge when no changes in financial management are demonstrated by the fourth filing.,Copy,21
A-1,Evidence of child freezing incident involving failure to provide heat or protection from elements,2025-01-04,SAFETY,10,pdf,january 4 freezing child neglect incident,Paramount safety issue that outweighs procedural delay under Rule 3.02 (NB) or Variation (NS),Original,22
A-2,Late-filed affidavit regarding child endangerment,Unknown,SAFETY,8,pdf,late affidavit child safety NBKB,Reframes prejudice to prioritize the child's welfare over administrative deadlines,Copy,22
A-3,Campaign of denigration fueled by false allegations of abuse,Unknown,PERJURY,9,pdf,doncaster field campaign denigration allegations,Demonstrates litigation abuse and can lead to a reversal of primary care,Original - Court Record,22
A-4,Documented patterns of intimate terrorism and systemic control,2023-01-01,SAFETY,9,pdf,nova scotia mass casualty commission IT pattern,Identifies the primary aggressor in family violence contexts,Original - Public Record,22
A-5,Evidence of grandmother serving as a 'Shadow Applicant' orchestrating alienation,Unknown,OBSTRUCTION,7,pdf,simmons grandmother shadow applicant gatekeeping,Justifies restrictive orders or supervision to preserve parent-child bond,Original,22
A-6,Fabricated reports of child abuse used for tactical litigation advantage,Unknown,PERJURY,10,pdf,fabricated abuse report litigation harassment,Recognized as a form of family violence and misuse of court process,Original,22
A-1,Text message from December 8th saying 'leave it in the mailbox so Craig doesn't flip out',Unknown-12-08,COMMUNICATION,7,png,text message mailbox craig flip out,"Evidence of secrecy, lack of cooperation, and manipulative behavior detrimental to stable co-parenting under Section 50(2)(c).",Screenshot,23
A-2,Bank/Money transfer record from mother to Emma and subsequently to an alleged drug dealer,Unknown-12-08,FINANCIAL,9,pdf,money transfer record drug dealer emma,Demonstrates lifestyle instability and inability to provide a safe/drug-free environment for the child under Section 50(2)(e).,Original,23
A-3,Video showing Emma 'flipping out' and hitting the victim while the baby was in their arms,Unknown-12-08,SAFETY,10,mp4,video assault flipping out baby arms,Visual confirmation of severe family violence putting the child at direct risk; grounds for Contempt of Court.,Original,23
A-4,Official Assault Charge record for incident occurring on December 8th,Unknown-12-08,SAFETY,10,pdf,assault charge record december 8,Objective legal confirmation of family violence; prioritizes child's safety and limits parenting time under Section 50(2)(f).,Original - Government Record,23
A-5,Apology text received two weeks prior where Emma admits to hitting the victim,Unknown,SAFETY,10,png,text apology hitting admission hitting emma,Establishes a historical pattern of physical violence and reinforces 'history of family violence' factor.,Screenshot,23
A-1,Photograph of black eye injury sustained by Craig Schulz during a physical assault by Emma Ryan,2024-11-19,SAFETY,10,jpg,black eye photo assault injury,Direct evidence of physical violence perpetrated by the Applicant against the Respondent.,Original,24
A-2,iMessage/Text Admission from Emma Ryan apologizing for hitting Craig Schulz and admitting loss of control,2024-11-21,PERJURY,10,jpg,text admission sorry hitting apology,Admission against interest; proves Applicant's propensity for violence and contradicts claims of being the sole victim.,Screenshot,24
A-3,Video footage of Emma Ryan shattering a mirror in a state of rage and swinging at Craig Schulz,2024-11-30,SAFETY,9,mp4,video mirror shatter rage assault,Demonstrates a pattern of aggressive behavior and property destruction in the family home.,Original - Video,24
A-4,Photographs of Harper Ryan's severe diaper rash and subsequent healing under Craig's care,2024-11-17,INTEGRITY,7,jpg,photo diaper rash health healing,Supports Respondent's claim of superior parental care and Applicant's neglect of infant's hygiene.,Original,24
A-5,NICU records and personal logs of Harper's weight and developmental milestones tracked by Craig Schulz,2024-11-12,INTEGRITY,6,pdf,nicu weight logs milestones hospital,Evidence of Respondent's consistent involvement and proactive parenting since birth.,Copy - Medical Record,24
A-6,Text message log from Dec 9 showing Emma Ryan giving Craig one hour to leave the home,2024-12-09,COMMUNICATION,8,jpg,text ultimatum leave house 250pm,Contradicts claims of kidnapping; proves Applicant initiated the separation and abandoned the infant for hours.,Screenshot,24
A-7,Police call logs and communication records regarding daily wellness checks for Harper Ryan,2024-12-10,OBSTRUCTION,8,pdf,police wellness checks call log,Proves Applicant was updated on well-being and used police as a tool for harassment.,Copy - Police Record,24
A-8,Medical report from Saint John Regional Hospital regarding Harper's blood tests (jaundice),2024-11-12,SAFETY,7,pdf,blood report jaundice hospital labs,Critical for assessing potential prenatal substance exposure impact on infant health.,Copy,24
A-9,Communication records showing Emma Ryan admitting to locking herself out of accounts/numerical difficulties,2024-05-01,INTEGRITY,5,jpg,text laptop erase pin error,Rebuts claims of 'phone control' and suggests Applicant's own actions caused data loss.,Screenshot,24
A-10,Text exchange where Emma Ryan requests drug dealer 'T' (Tony Baker) while Craig is out,2025-05-06,SAFETY,10,jpg,text drug purchase tony baker stuff,Direct evidence of ongoing substance abuse and connection to dangerous individuals.,Screenshot,24
A-11,Email from Emma Ryan stating she will withhold access to Harper until a judge is seen in October,2025-06-18,OBSTRUCTION,9,pdf,email denial access access judge october,Evidence of unilateral and unjustified denial of parenting time in breach of court standards.,Copy - Email,24
A-12,Video evidence depicting Emma Ryan with a torch and methamphetamine pipe,2025-05-20,SAFETY,10,mp4,video meth pipe torch drug use,Smoking gun evidence of active illicit drug use in a domestic setting where an infant resides.,Original - Video,24
A-13,Text message from Emma Ryan using 'Hugh' (high) as a direct request for substance use,2025-05-15,SAFETY,9,jpg,text get hugh high drugs,Written admission of craving substances while caring for the child.,Screenshot,24
A-14,Baby monitor audio recording of Emma Ryan screaming 'Get off!' during sexual intercourse,2025-01-15,INTEGRITY,9,mp3,audio monitor get off intercourse,Evidence of a potentially staged encounter intended to support false sexual abuse allegations.,Original - Audio,24
A-15,Bank Statement entries showing e-transfers to Tony Baker (identified drug dealer),2024-08-01,FINANCIAL,10,pdf,bank statement etransfer tony baker,Proves financial diversion of child tax/support funds toward illicit drug purchases.,Copy - Bank Record,24
A-16,Urgent Motion for Emergency Interim Custody and Form 72J Financial Affidavit,2025-07-01,FINANCIAL,8,pdf,urgent motion custody financial affidavit,Formal legal filing seeking court intervention based on immediate safety risks to the child.,Copy - Court Filing,24
A-17,Video summary/thumbnail of Nov 19 altercation where Emma Ryan throws objects while Craig holds Harper,2024-11-19,SAFETY,10,jpg,video thumbnail assault holding harper,Corroborates the assault charge and demonstrates reckless endangerment of the infant child.,Screenshot of Video,24
A-18,Video summary/thumbnail of Dec 9 incident showing Emma Ryan choking Craig Schulz,2024-12-09,SAFETY,10,jpg,video thumbnail choking self defense,Primary evidence supporting Respondent's claim of self-defense against life-threatening aggression.,Screenshot of Video,24
A-1,"Photograph of Black Eye (Craig Schulz, ~Nov 2024) showing Violence/Abuse Pattern",2024-11-01,SAFETY,10,jpg,photograph black eye violence abuse pattern,Direct physical evidence of domestic violence and battery against the Respondent,Original,25
A-2,"Text Messages - Emma: ""Beat the shit out of me"" and ""I'm really sorry for hitting you Craig...""",Unknown,PERJURY,10,png,text messages admission violence hitting sorry,Direct evidence of the Applicant’s admission of physical violence; impeaches credibility,Original - Screenshot,25
A-3,Email Thread - Threats & Intimidation documenting DARVO Strategy Evidence,Unknown,COMMUNICATION,8,pdf,email thread threats intimidation darvo strategy,Proves a pattern of harassment and coercive control through digital communication,Copy,25
A-4,Medical Records - Emergency Room Visit (Nov 2024) and Video summaries of assault,2024-11-01,SAFETY,9,pdf,medical records emergency room injury documentation,Third-party medical corroboration of physical injuries sustained from assault,Original - Medical Record,25
A-5,Police Report #2024-XXXX - Domestic Assault including Formal Charging Confirmation,2024-12-09,SAFETY,10,pdf,police report domestic assault charging confirmation,Government record confirming criminal charges for assault against the Applicant,Original - Government Record,25
A-6,"Screenshot - Emma: ""Methamphetamine Use"" Admission related to Child Safety",Unknown,SAFETY,10,png,screenshot methamphetamine use admission substance abuse,"Admits to illegal drug use, posing a high safety risk to the minor child",Original - Screenshot,25
A-14,Screenshots - 19 Denied Sunday Visits documenting Parental Alienation/Contempt,2024-08-18,OBSTRUCTION,9,png,screenshots denied visits parental alienation contempt,Demonstrates a willful pattern of violating court-ordered parenting time,Original - Screenshot,25
A-22,Evidence of financial diversion for substance transactions and supervisor concerns,Unknown,FINANCIAL,8,pdf,financial records substance transactions diversion,Connects financial mismanagement to drug endangerment and parental unfitness,Copy,25
A-24,"Text: Emma to Craig: ""I'm done... you do what you want"" - Maternal Abdication",Unknown,INTEGRITY,7,png,text message maternal abdication done,Shows a voluntary relinquishment of parental responsibility,Original - Screenshot,25
L-1,"Master Video Exhibit Log documenting assault, neglect, and parental bond",2024-12-09,SAFETY,10,mp4,video log img0669 assault child endangerment,Contains visual proof of Applicant striking the child and committing perjury,Original - Digital Media,25
A-1,Photo of severe diaper rash developed under mother's care,2024-11-17,SAFETY,8,jpg,photo harper diaper rash,Evidence of child neglect or inadequate hygiene standards by mother,Original - Photo,26
A-2,Video of infant Harper responding to father's voice,2024-12-05,INTEGRITY,5,mp4,video harper responding sounds,Demonstrates healthy bonding and cognitive development under father's care,Original - Video,26
A-3,Photo of child's first smile during playtime with father,2024-12-20,INTEGRITY,4,jpg,photo harper smiling mobile,Supports emotional well-being and developmental progress in father's home,Original - Photo,26
A-4,Legal custody documents served to father by Emma's father,2024-12-27,PERJURY,10,pdf,pdf custody papers served,Suspected fraudulent/fake court documents used to manipulate custody,Copy,26
A-5,Medical record confirming infant's weight and health progress,2024-12-17,INTEGRITY,7,pdf,medical record weight checkup,Proof of child's physical growth and father's compliance with medical care,Original - Government Record,26
A-6,Text message evidence of Emma's drug transactions with Tony Baker,Unknown,SAFETY,10,png,screenshot drug transactions emma,Direct evidence of illegal substance use impacting child safety,Original - Screenshot,26
A-7,Police incident record - escorting Craig following conflict,2024-08-05,SAFETY,9,pdf,police report august incident,Establishes history of domestic instability and police intervention,Original - Government Record,26
A-8,Police record - conflict mediation where Craig was advised to walk,2024-09-10,SAFETY,7,pdf,police log september conflict,Documentation of recurrent domestic disputes requiring police presence,Original - Government Record,26
A-9,Photo of Craig's black eye caused by Emma punching him,2024-11-19,SAFETY,9,jpg,photo black eye domestic violence,Evidence of physical assault by applicant against respondent,Original - Photo,26
A-10,Handwritten statement by Emma alleging Craig is abusive/narcissistic,Unknown,PERJURY,10,jpg,handwritten affidavit emma allegations,Subject of contested veracity; potentially defamatory or perjurous content,Original - Handwritten,26
A-11,Notice of First Court Appearance with incorrect year (January 2024),2024-12-17,PERJURY,10,jpg,notice court appearance wrong date,Key evidence of document tampering or bad faith legal maneuvering,Copy,26
A-1,Police Record - Assault Charge regarding incident where father punched son,2012-01-01,SAFETY,10,pdf,police assault charge father son rcmp,Proves physical violence leading to sole custody order,Original - Government Record,27
A-2,Psychological Assessment of Father (ADHD and Asperger’s diagnosis),2012-03-01,SAFETY,9,pdf,psychological assessment adhd aspergers father,Determined risk of volatility and parenting incapacity,Original,27
A-3,Court-to-Court Judicial Communication Protocol - Appendix A in Giesbrecht,2013-01-01,COMMUNICATION,5,pdf,judicial communication protocol giesbrecht appendix,Establishes safeguards for resolving jurisdictional custody disputes,Copy - Court Record,27
A-4,T1 General Form - Father's Undisclosed Capital Gain Records,2005-12-31,FINANCIAL,8,pdf,t1 general capital gain stock options tax,Center of dispute regarding retroactive child support calculation,Copy - Tax Record,27
A-5,Employee Stock Option Exercise Records ($1.38M Gain),2005-01-01,FINANCIAL,7,pdf,stock option exercise capital gain mcneil,Evidence of non-recurring income impacting child support,Original - Corporate Record,27
A-6,Psychologist Court-Ordered Report (Mental Health Opinion),2013-01-01,INTEGRITY,8,pdf,psychologist report mental health expert opinion,Admissibility of non-psychiatrist expert testimony in guardianship,Original,27
A-7,Home Study Report - Clinical Social Worker (Children's Preferences),2012-01-01,COMMUNICATION,6,pdf,home study social worker relocation wishes,Evidenced children's preference in mobility/relocation case,Original,27
A-8,Tax-Free Living Allowance Receipts (Fort McMurray),2014-01-01,FINANCIAL,4,jpg,living allowance receipts fort mcmurray calver,Determined if subsistence allowance should be imputed as income,Screenshot/Scan,27
A-9,Father's Lifestyle Evidence - Tropical Vacation and Orthodontic Receipts,2014-01-01,INTEGRITY,7,pdf,lifestyle expenditures vacation orthodontic receipts,Used to impute income based on expenditures vs reported tax income,Original - Receipts,27
A-10,Policy 713 - Sexual Orientation and Gender Identity (Revised),2023-06-08,INTEGRITY,9,pdf,policy 713 gender identity education nb,Governing policy regarding student name changes and parental consent,Original - Government Policy,28
A-1,Police Email - Assault Charge Confirmation,2025-09-26,PERJURY,10,pdf,police email assault charge,Proves criminal charge against applicant,Original - Government Record,29
A-2,Text message from Emma Ryan admitting to hitting Craig Schulz,2024-11-21,PERJURY,10,jpg,text sorry hitting admission screenshot,Direct admission of perpetrating violence; rebuts abuse claims,Original - Screenshot,29
A-3,Police Email - Verification of Criminal Assault Charge Against Emma Ryan,2025-09-25,SAFETY,10,pdf,police email assault charge confirmation,Corroborates criminal assault charge against applicant for the Dec 9 incident,Copy,29
A-4,Photograph documenting severe diaper rash neglected in Emma's care and its healing,Unknown,SAFETY,8,jpg,photo diaper rash healing documentation,Evidence of child neglect while in mother's care,Original - Photo,29
A-7,Communications related to Emma's delay in retrieving Harper after the Dec 9 incident,2024-12-09,COMMUNICATION,7,pdf,december communication retrieval delay,Proves mother delayed retrieval due to fear of drug testing,Copy,29
A-8,Selfie with courthouse clock/locked door showing sheriff closed five minutes early,2025-11-07,OBSTRUCTION,8,jpg,selfie courthouse clock locked door obstruction,Proof of institutional obstruction preventing deadline compliance,Original - Photo,29
A-10,Screenshot of 'Two Roofs One Home' co-parenting application concept,Unknown,COMMUNICATION,5,png,two roofs one home app screenshot,Demonstrates respondent's proactive efforts toward structured co-parenting,Original - Screenshot,29
A-18,"Video summary of December 9, 2024 assault by Emma Ryan",2024-12-09,SAFETY,10,mp4,video summary assault emma,"Visual evidence of applicant's aggression, object throwing, and violence",Original - Video,29
A-19,Craig Schulz's driving history and conviction record,Unknown,INTEGRITY,6,pdf,craig schulz driving history conviction record,Demonstrates transparency regarding 2019 DUI,Original - Government Record,29
A-20,Documentation related to Craig Schulz's past gambling and business failure,2021-01-01,INTEGRITY,5,pdf,gambling business failure documentation,Proactive disclosure to maintain candor with the court,Copy,29
A-21,Affidavit from local gas station owner Mentorship/Character Reference,Unknown,INTEGRITY,6,pdf,character reference affidavit gas station owner,Independent verification of respondent's personal transformation,Original - Sworn Affidavit,29
